index	chapter	chapter_title	subchapter	subchapter_title	part	part_title	section	section_title
30	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	221	PART 221 - CREDIT BY BANKS AND PERSONS OTHER THAN BROKERS OR DEALERS FOR THE PURPOSE OF PURCHASING OR CARRYING MARGIN STOCK (REGULATION U)	221.120	§ 221.120   Allocation of stock collateral to purpose and nonpurpose credits to same customer.
31	II	CHAPTER II - FEDERAL RESERVE SYSTEM	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM	218	PART 218 - EXCEPTIONS FOR BANKS FROM THE DEFINITION OF BROKER IN THE SECURITIES EXCHANGE ACT OF 1934 (REGULATION R)	218.775	§ 218.775   Exemption from the definition of “broker” for banks effecting certain excepted or exempted transactions in investment company securities.
32	II	CHAPTER II - FEDERAL RESERVE SYSTEM	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM	218	PART 218 - EXCEPTIONS FOR BANKS FROM THE DEFINITION OF BROKER IN THE SECURITIES EXCHANGE ACT OF 1934 (REGULATION R)	218.776	§ 218.776   Exemption from the definition of “broker” for banks effecting certain excepted or exempted transactions in a company's securities for its employee benefit plans.
33	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION (CONTINUED)	B	SUBCHAPTER B - REGULATIONS AND STATEMENTS OF GENERAL POLICY (CONTINUED)	347	PART 347 - INTERNATIONAL BANKING	347.113	§ 347.113   Restrictions applicable to activities by a foreign organization in the United States.
34	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	615	PART 615 - FUNDING AND FISCAL AFFAIRS, LOAN POLICIES AND OPERATIONS, AND FUNDING OPERATIONS	615.5255	§ 615.5255   Disclosure and review requirements for sales of other equities.
35	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	615	PART 615 - FUNDING AND FISCAL AFFAIRS, LOAN POLICIES AND OPERATIONS, AND FUNDING OPERATIONS	615.5359	§ 615.5359   Issuance of a capital directive.
36	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	269b	PART 269b - CHARGES OF UNFAIR LABOR PRACTICES	269b.220	§ 269b.220   Priority; acceleration of proceedings.
37	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	B	SUBCHAPTER B - REGULATIONS AFFECTING THE OPERATIONS OF THE NATIONAL CREDIT UNION ADMINISTRATION	793	PART 793 - TORT CLAIMS AGAINST THE GOVERNMENT	793.3	§ 793.3   Administrative claim; who may file.
38	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	268	PART 268 - RULES REGARDING EQUAL OPPORTUNITY	268.401	§ 268.401   Appeals to the Equal Employment Opportunity Commission.
39	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	268	PART 268 - RULES REGARDING EQUAL OPPORTUNITY	268.105	§ 268.105   Individual complaints.
40	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	704	PART 704 - CORPORATE CREDIT UNIONS	704.22	§ 704.22   Membership fees.
41	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	704	PART 704 - CORPORATE CREDIT UNIONS	704.21	§ 704.21   Enterprise risk management.
42	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	725	PART 725 - NATIONAL CREDIT UNION ADMINISTRATION CENTRAL LIQUIDITY FACILITY	725.4	§ 725.4   Agent membership.
43	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION (CONTINUED)	B	SUBCHAPTER B - REGULATIONS AND STATEMENTS OF GENERAL POLICY (CONTINUED)	370	PART 370 - RECORDKEEPING FOR TIMELY DEPOSIT INSURANCE DETERMINATION	370.3	§ 370.3   Information technology system requirements.
44	XII	CHAPTER XII - FEDERAL HOUSING FINANCE AGENCY	B	SUBCHAPTER B - ENTITY REGULATIONS	1221	PART 1221 - MARGIN AND CAPITAL REQUIREMENTS FOR COVERED SWAP ENTITIES	1221.7	§ 1221.7   Segregation of collateral.
45	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	237	PART 237 - SWAPS MARGIN AND SWAPS PUSH-OUT (REGULATION KK)	237.7	§ 237.7   Segregation of collateral.
46	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION (CONTINUED)	B	SUBCHAPTER B - REGULATIONS AND STATEMENTS OF GENERAL POLICY (CONTINUED)	349	PART 349 - DERIVATIVES	349.7	§ 349.7   Segregation of collateral.
47	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	624	PART 624 - MARGIN AND CAPITAL REQUIREMENTS FOR COVERED SWAP ENTITIES	624.7	§ 624.7   Segregation of collateral.
48	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	708a	PART 708a - BANK CONVERSIONS AND MERGERS	708a.103	§ 708a.103   Board of directors' approval and members' opportunity to comment.
49	XII	CHAPTER XII - FEDERAL HOUSING FINANCE AGENCY	A	SUBCHAPTER A - ORGANIZATION AND OPERATIONS	1208	PART 1208 - DEBT COLLECTION	1208.77	§ 1208.77   Financial hardship.
50	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION	A	SUBCHAPTER A - PROCEDURE AND RULES OF PRACTICE	313	PART 313 - PROCEDURES FOR COLLECTION OF CORPORATE DEBT, CRIMINAL RESTITUTION DEBT, AND CIVIL MONEY PENALTY DEBT	313.97	§ 313.97   Financial hardship.
51	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	B	SUBCHAPTER B - REGULATIONS AFFECTING THE OPERATIONS OF THE NATIONAL CREDIT UNION ADMINISTRATION	791	PART 791 - RULES OF NCUA BOARD PROCEDURE; PROMULGATION OF NCUA RULES AND REGULATIONS; PUBLIC OBSERVATION OF NCUA BOARD MEETINGS	791.14	§ 791.14   Regular procedure for closing meeting discussions or limiting the disclosure of information.
52	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	234	PART 234 - DESIGNATED FINANCIAL MARKET UTILITIES (REGULATION HH)	234.3	§ 234.3   Standards for payment systems.
53	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	617	PART 617 - BORROWER RIGHTS	617.7500	§ 617.7500   What is a directive used for and what may it require?
54	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	725	PART 725 - NATIONAL CREDIT UNION ADMINISTRATION CENTRAL LIQUIDITY FACILITY	725.7	§ 725.7   Special share accounts in federally chartered agent members.
55	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	750	PART 750 - GOLDEN PARACHUTE AND INDEMNIFICATION PAYMENTS	750.4	§ 750.4   Permissible golden parachute payments.
56	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	750	PART 750 - GOLDEN PARACHUTE AND INDEMNIFICATION PAYMENTS	750.5	§ 750.5   Permissible indemnification payments.
57	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	723	PART 723 - MEMBER BUSINESS LOANS; COMMERCIAL LENDING	723.5	§ 723.5   Collateral and security.
58	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	708b	PART 708b - MERGERS OF INSURED CREDIT UNIONS INTO OTHER CREDIT UNIONS; VOLUNTARY TERMINATION OR CONVERSION OF INSURED STATUS	708b.203	§ 708b.203   Conversion of insurance.
59	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	702	PART 702 - CAPITAL ADEQUACY	702.409	§ 702.409   Preapproval for federally insured, state-chartered credit unions to issue Subordinated Debt.
60	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION (CONTINUED)	B	SUBCHAPTER B - REGULATIONS AND STATEMENTS OF GENERAL POLICY (CONTINUED)	347	PART 347 - INTERNATIONAL BANKING	347.213	§ 347.213   Establishment or operation of noninsured foreign branch.
61	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	252	PART 252 - ENHANCED PRUDENTIAL STANDARDS (REGULATION YY)	252.145	§ 252.145   Liquidity risk-management requirements for foreign banking organizations with total consolidated assets of $250 billion or more and combined U.S. assets of less than $100 billion.
62	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	252	PART 252 - ENHANCED PRUDENTIAL STANDARDS (REGULATION YY)	252.65	§ 252.65   Disclosure requirements.
63	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	614	PART 614 - LOAN POLICIES AND OPERATIONS	614.4361	§ 614.4361   Transition.
64	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	A	SUBCHAPTER A - ADMINISTRATIVE PROVISIONS	604	PART 604 - FARM CREDIT ADMINISTRATION BOARD MEETINGS	604.430	§ 604.430   Closure of meetings.
65	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	261b	PART 261b - RULES REGARDING PUBLIC OBSERVATION OF MEETINGS	261b.8	§ 261b.8   Meetings closed to public observation under regular procedures.
66	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	725	PART 725 - NATIONAL CREDIT UNION ADMINISTRATION CENTRAL LIQUIDITY FACILITY	725.6	§ 725.6   Termination of membership.
67	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	A	SUBCHAPTER A - ADMINISTRATIVE PROVISIONS	604	PART 604 - FARM CREDIT ADMINISTRATION BOARD MEETINGS	604.405	§ 604.405   Notice of public observation.
68	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	239	PART 239 - MUTUAL HOLDING COMPANIES (REGULATION MM)	239.16	§ 239.16   Voluntary dissolution.
69	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	239	PART 239 - MUTUAL HOLDING COMPANIES (REGULATION MM)	239.3	§ 239.3   Mutual holding company reorganizations.
70	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	725	PART 725 - NATIONAL CREDIT UNION ADMINISTRATION CENTRAL LIQUIDITY FACILITY	725.3	§ 725.3   Regular membership.
71	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	615	PART 615 - FUNDING AND FISCAL AFFAIRS, LOAN POLICIES AND OPERATIONS, AND FUNDING OPERATIONS	615.5454	§ 615.5454   Creation of participant's security entitlement; security interests.
72	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION	A	SUBCHAPTER A - PROCEDURE AND RULES OF PRACTICE	308	PART 308 - RULES OF PRACTICE AND PROCEDURE	308.523	§ 308.523   Protective order.
73	XII	CHAPTER XII - FEDERAL HOUSING FINANCE AGENCY	A	SUBCHAPTER A - ORGANIZATION AND OPERATIONS	1215	PART 1215 - PRODUCTION OF FHFA RECORDS, INFORMATION, AND EMPLOYEE TESTIMONY IN THIRD-PARTY LEGAL PROCEEDINGS	1215.8	§ 1215.8   Timing and form of demands and requests.
74	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION	A	SUBCHAPTER A - PROCEDURE AND RULES OF PRACTICE	308	PART 308 - RULES OF PRACTICE AND PROCEDURE	308.522	§ 308.522   Subpoenas for attendance at hearing.
75	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION	B	SUBCHAPTER B - REGULATIONS AND STATEMENTS OF GENERAL POLICY	340	PART 340 - RESTRICTIONS ON SALE OF ASSETS OF A FAILED INSTITUTION BY THE FEDERAL DEPOSIT INSURANCE CORPORATION	340.4	§ 340.4   What are the restrictions on the sale of assets by the FDIC regardless of the method of financing?
76	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	231	PART 231 - NETTING ELIGIBILITY FOR FINANCIAL INSTITUTION (REGULATION EE)	231.3	§ 231.3   Qualification as a financial institution.
77	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	747	PART 747 - ADMINISTRATIVE ACTIONS, ADJUDICATIVE HEARINGS, RULES OF PRACTICE AND PROCEDURE, AND INVESTIGATIONS	747.606	§ 747.606   Contents of application.
78	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	747	PART 747 - ADMINISTRATIVE ACTIONS, ADJUDICATIVE HEARINGS, RULES OF PRACTICE AND PROCEDURE, AND INVESTIGATIONS	747.604	§ 747.604   Standards for award.
79	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION	A	SUBCHAPTER A - PROCEDURE AND RULES OF PRACTICE	303	PART 303 - FILING PROCEDURES	303.224	§ 303.224   What constitutes a pretrial diversion or similar program (program entry) under section 19?
80	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	708a	PART 708a - BANK CONVERSIONS AND MERGERS	708a.106	§ 708a.106   Membership approval of a proposal to convert.
81	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	A	SUBCHAPTER A - REGULATIONS AFFECTING CREDIT UNIONS	708a	PART 708a - BANK CONVERSIONS AND MERGERS	708a.306	§ 708a.306   Membership approval of a proposal to merge.
82	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	617	PART 617 - BORROWER RIGHTS	617.7400	§ 617.7400   What protections exist for borrowers who meet all loan obligations?
83	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	617	PART 617 - BORROWER RIGHTS	617.7010	§ 617.7010   May borrower rights be waived?
84	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	617	PART 617 - BORROWER RIGHTS	617.7125	§ 617.7125   How should a qualified lender determine the effective interest rate?
85	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	617	PART 617 - BORROWER RIGHTS	617.7100	§ 617.7100   Who must make and who is entitled to receive an effective interest rate disclosure?
86	VI	CHAPTER VI - FARM CREDIT ADMINISTRATION	B	SUBCHAPTER B - FARM CREDIT SYSTEM	617	PART 617 - BORROWER RIGHTS	617.7510	§ 617.7510   What should the qualified lender do when it receives notice of a distressed loan restructuring directive?
87	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	221	PART 221 - CREDIT BY BANKS AND PERSONS OTHER THAN BROKERS OR DEALERS FOR THE PURPOSE OF PURCHASING OR CARRYING MARGIN STOCK (REGULATION U)	221.113	§ 221.113   Loan which is secured indirectly by stock.
88	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	225	PART 225 - BANK HOLDING COMPANIES AND CHANGE IN BANK CONTROL (REGULATION Y)	225.112	§ 225.112   Indirect control of small business concern through convertible debentures held by small business investment company.
89	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	225	PART 225 - BANK HOLDING COMPANIES AND CHANGE IN BANK CONTROL (REGULATION Y)	225.107	§ 225.107   Acquisition of stock in small business investment company.
90	VII	CHAPTER VII - NATIONAL CREDIT UNION ADMINISTRATION	B	SUBCHAPTER B - REGULATIONS AFFECTING THE OPERATIONS OF THE NATIONAL CREDIT UNION ADMINISTRATION	792	PART 792 - REQUESTS FOR INFORMATION UNDER THE FREEDOM OF INFORMATION ACT AND PRIVACY ACT, AND BY SUBPOENA; SECURITY PROCEDURES FOR CLASSIFIED INFORMATION	792.59	§ 792.59   Appeal of initial determination.
91	II	CHAPTER II - FEDERAL RESERVE SYSTEM (CONTINUED)	A	SUBCHAPTER A - BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM (CONTINUED)	252	PART 252 - ENHANCED PRUDENTIAL STANDARDS (REGULATION YY)	252.167	§ 252.167   Disclosure requirements for resolution Covered IHCs.
92	III	CHAPTER III - FEDERAL DEPOSIT INSURANCE CORPORATION	A	SUBCHAPTER A - PROCEDURE AND RULES OF PRACTICE	308	PART 308 - RULES OF PRACTICE AND PROCEDURE	308.515	§ 308.515   Disqualification of reviewing official or ALJ.
